START MPC DATA
Title
  No title given
File version
 1
 
START DENSITY DATA
Self-consistent charge density in reciprocal space
 -4.9961430780612531E-01  4.9503883671180288E-01 -1.7817000657258215E+00
  4.9961430780612531E-01 -4.9503883671180288E-01  1.7817000657258215E+00
  4.9931619240137998E-01  4.9588578273849487E-01 -1.7818060176923591E+00
 -4.9931619240137998E-01 -4.9588578273849487E-01  1.7818060176923591E+00
  4.9848944917414451E-01 -5.1798938940306893E-01 -1.7878477044680912E+00
 -4.9848944917414451E-01  5.1798938940306893E-01  1.7878477044680912E+00
 -5.0044105103336078E-01 -5.1883633542976093E-01 -1.7877417525015535E+00
  5.0044105103336078E-01  5.1883633542976093E-01  1.7877417525015535E+00
  9.9852557896726257E-01 -1.0044217688556469E+00  1.3324327750804474E+00
 -9.9852557896726257E-01  1.0044217688556469E+00 -1.3324327750804474E+00
 -9.9933542144774801E-01 -1.0061156609090309E+00  1.3326446790135227E+00
  9.9933542144774801E-01  1.0061156609090309E+00 -1.3326446790135227E+00
 -9.9768193499327706E-01  1.0216346833740966E+00  1.3447280525649870E+00
  9.9768193499327706E-01 -1.0216346833740966E+00 -1.3447280525649870E+00
  1.0001790654217335E+00  1.0233285754274806E+00  1.3445161486319117E+00
 -1.0001790654217335E+00 -1.0233285754274806E+00 -1.3445161486319117E+00
 -1.9978610004150106E+00 -1.6938920533839817E-03  2.1190393307517959E-04
  1.9978610004150106E+00  1.6938920533839817E-03 -2.1190393307517959E-04
  1.4979739283242652E+00 -7.3360382191867716E-03 -1.3387393417725237E+00
 -1.4979739283242652E+00  7.3360382191867716E-03  1.3387393417725237E+00
 -1.4988175722982506E+00 -9.8768762992627445E-03 -1.3384214858729109E+00
  1.4988175722982506E+00  9.8768762992627445E-03  1.3384214858729109E+00
 -1.4978502217420178E+00  1.0068671149287094E+00 -8.8618632782293960E-01
  1.4978502217420178E+00 -1.0068671149287094E+00  8.8618632782293960E-01
  1.4989412788804981E+00  1.0094079530087852E+00 -8.8650418372255246E-01
 -1.4989412788804981E+00 -1.0094079530087852E+00  8.8650418372255246E-01
  8.1829285386039686E-04  1.5122063009531208E+00 -1.3295178836591190E+00
 -8.1829285386039686E-04 -1.5122063009531208E+00  1.3295178836591190E+00
  9.9797160002464724E-01 -1.5142281740128372E+00  8.8321846041834240E-01
 -9.9797160002464724E-01  1.5142281740128372E+00 -8.8321846041834240E-01
  9.9988940039036334E-01  1.5159220660662212E+00 -8.8343036435141764E-01
 -9.9988940039036334E-01 -1.5159220660662212E+00  8.8343036435141764E-01
 -1.4972877924260273E+00  1.0183423912743423E+00  8.9858755727401673E-01
  1.4972877924260273E+00 -1.0183423912743423E+00 -8.9858755727401673E-01
  1.4995037081964886E+00  1.0208832293544181E+00  8.9826970137440387E-01
 -1.4995037081964886E+00 -1.0208832293544181E+00 -8.9826970137440387E-01
 -1.6534864544709370E-03 -2.0277503442831275E+00 -1.2083373551464259E-02
  1.6534864544709370E-03  2.0277503442831275E+00  1.2083373551464259E-02
 -9.9740917070865687E-01  1.5257034503584701E+00  9.0155542467861394E-01
  9.9740917070865687E-01 -1.5257034503584701E+00 -9.0155542467861394E-01
 -1.0004518297063536E+00 -1.5273973424118541E+00 -9.0134352074553870E-01
  1.0004518297063536E+00  1.5273973424118541E+00  9.0134352074553870E-01
  1.6619368278460085E-03  1.5294192154715704E+00  1.3476429439863153E+00
 -1.6619368278460085E-03 -1.5294192154715704E+00 -1.3476429439863153E+00
 -2.6431391124506081E-04 -1.0023998957959308E+00  1.7787321983212243E+00
  2.6431391124506081E-04  1.0023998957959308E+00 -1.7787321983212243E+00
 -9.9836807089151491E-01  1.0628330318941019E-02  1.7848798370634940E+00
  9.9836807089151491E-01 -1.0628330318941019E-02 -1.7848798370634940E+00
 -9.9949292952349567E-01 -1.2322222372325000E-02 -1.7846679331304187E+00
  9.9949292952349567E-01  1.2322222372325000E-02  1.7846679331304187E+00
